Term Set Name|Term Set Description|LCID|Available for Tagging|Term Description|Level 1 Term|Level 2 Term|Level 3 Term|Level 4 Term|Level 5 Term|Level 6 Term|Level 7 Term
|||TRUE|3.A.2.g: Mules and Asses|3: Agriculture, Forestry, and Other Land Use|3.A: Livestock|3.A.2: Manure Management|3.A.2.g: Mules and Asses|||
|||TRUE|3.A.2.h: Swine|3: Agriculture, Forestry, and Other Land Use|3.A: Livestock|3.A.2: Manure Management|3.A.2.h: Swine|||
|||TRUE|3.A.2.i: Poultry|3: Agriculture, Forestry, and Other Land Use|3.A: Livestock|3.A.2: Manure Management|3.A.2.i: Poultry|||
|||TRUE|3.A.2.j: Other (please specify)|3: Agriculture, Forestry, and Other Land Use|3.A: Livestock|3.A.2: Manure Management|3.A.2.j: Other (please specify)|||
|||TRUE|3.B: Land|3: Agriculture, Forestry, and Other Land Use|3.B: Land|||||
|||TRUE|3.B.1: Forest land|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.1: Forest land||||
|||TRUE|3.B.1.a: Forest land Remaining Forest land|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.1: Forest land|3.B.1.a: Forest land Remaining Forest land|||
|||TRUE|3.B.1.b: Land Converted to Forest land|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.1: Forest land|3.B.1.b: Land Converted to Forest land|||
|||TRUE|3.B.1.b.i: Cropland converted to Forest Land|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.1: Forest land|3.B.1.b: Land Converted to Forest land|3.B.1.b.i: Cropland converted to Forest Land||
|||TRUE|3.B.1.b.ii: Grassland converted to Forest Land|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.1: Forest land|3.B.1.b: Land Converted to Forest land|3.B.1.b.ii: Grassland converted to Forest Land||
|||TRUE|3.B.1.b.iii: Wetlands converted to Forest Land|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.1: Forest land|3.B.1.b: Land Converted to Forest land|3.B.1.b.iii: Wetlands converted to Forest Land||
|||TRUE|3.B.1.b.iv: Settlements converted to Forest Land|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.1: Forest land|3.B.1.b: Land Converted to Forest land|3.B.1.b.iv: Settlements converted to Forest Land||
|||TRUE|3.B.1.b.v: Other Land converted to Forest Land|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.1: Forest land|3.B.1.b: Land Converted to Forest land|3.B.1.b.v: Other Land converted to Forest Land||
|||TRUE|3.B.2: Cropland|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.2: Cropland||||
|||TRUE|3.B.2.a: Cropland Remaining Cropland|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.2: Cropland|3.B.2.a: Cropland Remaining Cropland|||
|||TRUE|3.B.2.b: Land Converted to Cropland|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.2: Cropland|3.B.2.b: Land Converted to Cropland|||
|||TRUE|3.B.2.b.i: Forest Land converted to Cropland|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.2: Cropland|3.B.2.b: Land Converted to Cropland|3.B.2.b.i: Forest Land converted to Cropland||
|||TRUE|3.B.2.b.ii: Grassland converted to Cropland|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.2: Cropland|3.B.2.b: Land Converted to Cropland|3.B.2.b.ii: Grassland converted to Cropland||
|||TRUE|3.B.2.b.iii: Wetlands converted to Cropland|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.2: Cropland|3.B.2.b: Land Converted to Cropland|3.B.2.b.iii: Wetlands converted to Cropland||
|||TRUE|3.B.2.b.iv: Settlements converted to Cropland|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.2: Cropland|3.B.2.b: Land Converted to Cropland|3.B.2.b.iv: Settlements converted to Cropland||
|||TRUE|3.B.2.b.v: Other Land converted to Cropland|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.2: Cropland|3.B.2.b: Land Converted to Cropland|3.B.2.b.v: Other Land converted to Cropland||
|||TRUE|3.B.3: Grassland|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.3: Grassland||||
|||TRUE|3.B.3.a: Grassland Remaining Grassland|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.3: Grassland|3.B.3.a: Grassland Remaining Grassland|||
|||TRUE|3.B.3.b: Land Converted to Grassland|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.3: Grassland|3.B.3.b: Land Converted to Grassland|||
|||TRUE|3.B.3.b.i: Forest Land converted to Grassland|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.3: Grassland|3.B.3.b: Land Converted to Grassland|3.B.3.b.i: Forest Land converted to Grassland||
|||TRUE|3.B.3.b.ii: Cropland converted to Grassland|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.3: Grassland|3.B.3.b: Land Converted to Grassland|3.B.3.b.ii: Cropland converted to Grassland||
|||TRUE|3.B.3.b.iii: Wetlands converted to Grassland|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.3: Grassland|3.B.3.b: Land Converted to Grassland|3.B.3.b.iii: Wetlands converted to Grassland||
|||TRUE|3.B.3.b.iv: Settlements converted to Grassland|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.3: Grassland|3.B.3.b: Land Converted to Grassland|3.B.3.b.iv: Settlements converted to Grassland||
|||TRUE|3.B.3.b.v: Other Land converted to Grassland|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.3: Grassland|3.B.3.b: Land Converted to Grassland|3.B.3.b.v: Other Land converted to Grassland||
|||TRUE|3.B.4: Wetlands|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.4: Wetlands||||
|||TRUE|3.B.4.a: Wetlands Remaining Wetlands|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.4: Wetlands|3.B.4.a: Wetlands Remaining Wetlands|||
|||TRUE|3.B.4.a.i: Peatlands remaining peatlands|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.4: Wetlands|3.B.4.a: Wetlands Remaining Wetlands|3.B.4.a.i: Peatlands remaining peatlands||
|||TRUE|3.B.4.a.ii: Flooded land remaining flooded land|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.4: Wetlands|3.B.4.a: Wetlands Remaining Wetlands|3.B.4.a.ii: Flooded land remaining flooded land||
|||TRUE|3.B.4.b: Land Converted to Wetlands|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.4: Wetlands|3.B.4.b: Land Converted to Wetlands|||
|||TRUE|3.B.4.b.i: Land converted for peat extraction|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.4: Wetlands|3.B.4.b: Land Converted to Wetlands|3.B.4.b.i: Land converted for peat extraction||
|||TRUE|3.B.4.b.ii: Land converted to flooded land|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.4: Wetlands|3.B.4.b: Land Converted to Wetlands|3.B.4.b.ii: Land converted to flooded land||
|||TRUE|3.B.4.b.iii: Land converted to other wetlands|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.4: Wetlands|3.B.4.b: Land Converted to Wetlands|3.B.4.b.iii: Land converted to other wetlands||
|||TRUE|3.B.5: Settlements|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.5: Settlements||||
|||TRUE|3.B.5.a: Settlements Remaining Settlements|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.5: Settlements|3.B.5.a: Settlements Remaining Settlements|||
|||TRUE|3.B.5.b: Land Converted to Settlements|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.5: Settlements|3.B.5.b: Land Converted to Settlements|||
|||TRUE|3.B.5.b.i: Forest Land converted to Settlements|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.5: Settlements|3.B.5.b: Land Converted to Settlements|3.B.5.b.i: Forest Land converted to Settlements||
|||TRUE|3.B.5.b.ii: Cropland converted to Settlements|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.5: Settlements|3.B.5.b: Land Converted to Settlements|3.B.5.b.ii: Cropland converted to Settlements||
|||TRUE|3.B.5.b.iii: Grassland converted to Settlements|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.5: Settlements|3.B.5.b: Land Converted to Settlements|3.B.5.b.iii: Grassland converted to Settlements||
|||TRUE|3.B.5.b.iv: Wetlands converted to Settlements|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.5: Settlements|3.B.5.b: Land Converted to Settlements|3.B.5.b.iv: Wetlands converted to Settlements||
|||TRUE|3.B.5.b.v: Other Land converted to Settlements|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.5: Settlements|3.B.5.b: Land Converted to Settlements|3.B.5.b.v: Other Land converted to Settlements||
|||TRUE|3.B.6: Other Land|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.6: Other Land||||
|||TRUE|3.B.6.a: Other land Remaining Other land|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.6: Other Land|3.B.6.a: Other land Remaining Other land|||
|||TRUE|3.B.6.b: Land Converted to Other land|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.6: Other Land|3.B.6.b: Land Converted to Other land|||
|||TRUE|3.B.6.b.i: Forest Land converted to Other Land|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.6: Other Land|3.B.6.b: Land Converted to Other land|3.B.6.b.i: Forest Land converted to Other Land||
|||TRUE|3.B.6.b.ii: Cropland converted to Other Land|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.6: Other Land|3.B.6.b: Land Converted to Other land|3.B.6.b.ii: Cropland converted to Other Land||
|||TRUE|3.B.6.b.iii: Grassland converted to Other Land|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.6: Other Land|3.B.6.b: Land Converted to Other land|3.B.6.b.iii: Grassland converted to Other Land||
|||TRUE|3.B.6.b.iv: Wetlands converted to Other Land|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.6: Other Land|3.B.6.b: Land Converted to Other land|3.B.6.b.iv: Wetlands converted to Other Land||
|||TRUE|3.B.6.b.v: Settlements converted to Other Land|3: Agriculture, Forestry, and Other Land Use|3.B: Land|3.B.6: Other Land|3.B.6.b: Land Converted to Other land|3.B.6.b.v: Settlements converted to Other Land||
|||TRUE|3.C: Aggregate sources and non-CO2 emissions sources on land|3: Agriculture, Forestry, and Other Land Use|3.C: Aggregate sources and non-CO2 emissions sources on land|||||
|||TRUE|3.C.1: Emissions from biomass burning|3: Agriculture, Forestry, and Other Land Use|3.C: Aggregate sources and non-CO2 emissions sources on land|3.C.1: Emissions from biomass burning||||
|||TRUE|3.C.1.a: Biomass burning in forest lands|3: Agriculture, Forestry, and Other Land Use|3.C: Aggregate sources and non-CO2 emissions sources on land|3.C.1: Emissions from biomass burning|3.C.1.a: Biomass burning in forest lands|||
|||TRUE|3.C.1.b: Biomass burning in croplands|3: Agriculture, Forestry, and Other Land Use|3.C: Aggregate sources and non-CO2 emissions sources on land|3.C.1: Emissions from biomass burning|3.C.1.b: Biomass burning in croplands|||
|||TRUE|3.C.1.c: Biomass burning in grasslands|3: Agriculture, Forestry, and Other Land Use|3.C: Aggregate sources and non-CO2 emissions sources on land|3.C.1: Emissions from biomass burning|3.C.1.c: Biomass burning in grasslands|||
|||TRUE|3.C.1.d: Biomass burning in all other land|3: Agriculture, Forestry, and Other Land Use|3.C: Aggregate sources and non-CO2 emissions sources on land|3.C.1: Emissions from biomass burning|3.C.1.d: Biomass burning in all other land|||
|||TRUE|3.C.2: Liming|3: Agriculture, Forestry, and Other Land Use|3.C: Aggregate sources and non-CO2 emissions sources on land|3.C.2: Liming||||
|||TRUE|3.C.3: Urea application|3: Agriculture, Forestry, and Other Land Use|3.C: Aggregate sources and non-CO2 emissions sources on land|3.C.3: Urea application||||
|||TRUE|3.C.4: Direct N2O Emissions from managed soils|3: Agriculture, Forestry, and Other Land Use|3.C: Aggregate sources and non-CO2 emissions sources on land|3.C.4: Direct N2O Emissions from managed soils||||
|||TRUE|3.C.5: Indirect N2O Emissions from managed soils|3: Agriculture, Forestry, and Other Land Use|3.C: Aggregate sources and non-CO2 emissions sources on land|3.C.5: Indirect N2O Emissions from managed soils||||
|||TRUE|3.C.6: Indirect N2O Emissions from manure management|3: Agriculture, Forestry, and Other Land Use|3.C: Aggregate sources and non-CO2 emissions sources on land|3.C.6: Indirect N2O Emissions from manure management||||
|||TRUE|3.C.7: Rice cultivations|3: Agriculture, Forestry, and Other Land Use|3.C: Aggregate sources and non-CO2 emissions sources on land|3.C.7: Rice cultivations||||
|||TRUE|3.C.8: Other (please specify)|3: Agriculture, Forestry, and Other Land Use|3.C: Aggregate sources and non-CO2 emissions sources on land|3.C.8: Other (please specify)||||
|||TRUE|3.D: Other|3: Agriculture, Forestry, and Other Land Use|3.D: Other|||||
|||TRUE|3.D.1: Harvested Wood Products|3: Agriculture, Forestry, and Other Land Use|3.D: Other|3.D.1: Harvested Wood Products||||
|||TRUE|3.D.2: Other (please specify)|3: Agriculture, Forestry, and Other Land Use|3.D: Other|3.D.2: Other (please specify)||||
|||TRUE|4: Waste|4: Waste||||||
|||TRUE|4.A: Solid Waste Disposal|4: Waste|4.A: Solid Waste Disposal|||||
|||TRUE|4.A.1: Managed Waste Disposal Sites|4: Waste|4.A: Solid Waste Disposal|4.A.1: Managed Waste Disposal Sites||||
|||TRUE|4.A.2: Unmanaged Waste Disposal Sites|4: Waste|4.A: Solid Waste Disposal|4.A.2: Unmanaged Waste Disposal Sites||||
|||TRUE|4.A.3: Uncategorised Waste Disposal Sites|4: Waste|4.A: Solid Waste Disposal|4.A.3: Uncategorised Waste Disposal Sites||||
|||TRUE|4.B: Biological Treatment of Solid Waste|4: Waste|4.B: Biological Treatment of Solid Waste|||||
|||TRUE|4.C: Incineration and Open Burning of Waste|4: Waste|4.C: Incineration and Open Burning of Waste|||||
|||TRUE|4.C.1: Waste Incineration|4: Waste|4.C: Incineration and Open Burning of Waste|4.C.1: Waste Incineration||||
|||TRUE|4.C.2: Open Burning of Waste|4: Waste|4.C: Incineration and Open Burning of Waste|4.C.2: Open Burning of Waste||||
|||TRUE|4.D: Wastewater Treatment and Discharge|4: Waste|4.D: Wastewater Treatment and Discharge|||||
|||TRUE|4.D.1: Domestic Wastewaster Treatment and Discharge|4: Waste|4.D: Wastewater Treatment and Discharge|4.D.1: Domestic Wastewaster Treatment and Discharge||||
|||TRUE|4.D.2: Industrial Wastewater Treatment and Discharge|4: Waste|4.D: Wastewater Treatment and Discharge|4.D.2: Industrial Wastewater Treatment and Discharge||||
|||TRUE|4.E: Other (please specify)|4: Waste|4.E: Other (please specify)|||||
|||TRUE|5: Other|5: Other||||||
|||TRUE|5.A: Indirect N2O emissions from the atmospheric deposition of nitrogen in NOx and NH3|5: Other|5.A: Indirect N2O emissions from the atmospheric deposition of nitrogen in NOx and NH3|||||
|||TRUE|5.B: Other (please specify)|5: Other|5.B: Other (please specify)|||||
